IndivConstruct,PotentialComposite,Words
Collaboration,Team Science,collab
Collaboration,Team Science,team
Collaboration,Team Science,together
Collaboration,Team Science,sharing
Collaboration,Team Science,share
Collaboration,Team Science,unit
Collaboration,Team Science,cooperat
Collaboration,Team Science,join
Collaboration,Team Science,consens
Team/Communality,Team Science,collective
Team/Communality,Team Science,commun
Team/Communality,Team Science,network
Team/Communality,Team Science,team
Team/Communality,Team Science,mutual
Team-focused Pronouns,Team Science,we
Team-focused Pronouns,Team Science,us
Team-focused Pronouns,Team Science,our
Team-focused Pronouns,Team Science,let’s
Individual-focused Pronouns,,I 
Individual-focused Pronouns,,me 
Individual-focused Pronouns,,mine
Individual-focused Pronouns,,I’
Individual-focused Pronouns,,my
Individual-focused Pronouns,,myself
Other-focused pronouns,,they 
Other-focused pronouns,,them 
Other-focused pronouns,,their
Other-focused pronouns,,she
Other-focused pronouns,,he
Other-focused pronouns,,his
Other-focused pronouns,,her
Other-focused pronouns,,him
Other-focused pronouns,,you
Masculine words,Masculinity,active
Masculine words,Masculinity,adventurous
Masculine words,Masculinity,aggress
Masculine words,Masculinity,ambitio
Masculine words,Masculinity,analy
Masculine words,Masculinity,assert
Masculine words,Masculinity,athlet
Masculine words,Masculinity,autonom
Masculine words,Masculinity,boast
Masculine words,Masculinity,challeng
Masculine words,Masculinity,compet
Masculine words,Masculinity,confident
Masculine words,Masculinity,courag
Masculine words,Masculinity,decide
Masculine words,Masculinity,decisive
Masculine words,Masculinity,decision 
Masculine words,Masculinity,determin
Masculine words,Masculinity,dominant
Masculine words,Masculinity,domina
Masculine words,Masculinity,force
Masculine words,Masculinity,greedy
Masculine words,Masculinity,headstrong
Masculine words,Masculinity,hierarch
Masculine words,Masculinity,hostil
Masculine words,Masculinity,impulsive
Masculine words,Masculinity,indepden
Masculine words,Masculinity,individual
Masculine words,Masculinity,intellect
Masculine words,Masculinity,lead
Masculine words,Masculinity,logic
Masculine words,Masculinity,masculine
Masculine words,Masculinity,objective
Masculine words,Masculinity,opinion
Masculine words,Masculinity,outspoken
Masculine words,Masculinity,persist
Masculine words,Masculinity,principle
Masculine words,Masculinity,reckless
Masculine words,Masculinity,stubborn
Masculine words,Masculinity,superior
Masculine words,Masculinity,self-confiden
Masculine words,Masculinity,self-sufficien
Masculine words,Masculinity,self-relian
Feminine words,Femininity,affectionate
Feminine words,Femininity,child
Feminine words,Femininity,cheer
Feminine words,Femininity,commit
Feminine words,Femininity,communal
Feminine words,Femininity,compassion
Feminine words,Femininity,connect
Feminine words,Femininity,considerate
Feminine words,Femininity,cooperat
Feminine words,Femininity,depend
Feminine words,Femininity,emotiona
Feminine words,Femininity,empath
Feminine words,Femininity,feminine
Feminine words,Femininity,flatterable
Feminine words,Femininity,gentle
Feminine words,Femininity,honest 
Feminine words,Femininity,interpersonal
Feminine words,Femininity,interdepen
Feminine words,Femininity,interpersona
Feminine words,Femininity,kind
Feminine words,Femininity,kinship
Feminine words,Femininity,loyal
Feminine words,Femininity,modesty
Feminine words,Femininity,nag
Feminine words,Femininity,nurtur
Feminine words,Femininity,pleasant
Feminine words,Femininity,polite
Feminine words,Femininity,quiet
Feminine words,Femininity,respon
Feminine words,Femininity,sensitiv
Feminine words,Femininity,submissive
Feminine words,Femininity,support
Feminine words,Femininity,sympath
Feminine words,Femininity,tender
Feminine words,Femininity,together
Feminine words,Femininity,trust
Feminine words,Femininity,understand
Feminine words,Femininity,warm
Feminine words,Femininity,whin
Feminine words,Femininity,yield
Learning,,learn
Learning,,discover
Learning,,grow
Learning,,improv
Learning,,develop
Learning,,progres
Learning,,build
Competiition/Achievement,Masculinity,compete
Competiition/Achievement,Masculinity,competi
Competiition/Achievement,Masculinity,best
Competiition/Achievement,Masculinity,high
Competiition/Achievement,Masculinity,premier
Competiition/Achievement,Masculinity,superior
Competiition/Achievement,Masculinity,lead
Competiition/Achievement,Masculinity,success
Competiition/Achievement,Masculinity,succeed
Competiition/Achievement,Masculinity,award
Competiition/Achievement,Masculinity,unrival
Competiition/Achievement,Masculinity,great
Competiition/Achievement,Masculinity,first
Competiition/Achievement,Masculinity,achiev
Competiition/Achievement,Masculinity,excellen
Competiition/Achievement,Masculinity,reward
Competiition/Achievement,Masculinity,rewards
Competiition/Achievement,Masculinity,win
Competiition/Achievement,Masculinity,winning
Competiition/Achievement,Masculinity,winner
Competiition/Achievement,Masculinity,promot
Policing,,poor
Policing,,bad
Policing,,wrong
Policing,,misguided
Policing,,FALSE
Policing,,inaccura
Policing,,accurac
Policing,,credibil
Policing,,crisis
Integrity,,ethic
Integrity,,integrity
Integrity,,transparen
Integrity,,accountab
Integrity,,improv
Integrity,,honest
Integrity,,credibil
Innovation,,innova
Innovation,,new
Innovation,,novel
Innovation,,unique
Innovation,,cutting-edge
Innovation,,groundbreaking
Innovation,,breaking ground
Innovation,,first
Openness,Team Science,access
Openness,Team Science,open
Reproducibility,,reproduc
Reproducibility,,replicab
Reproducibility,,repeat
Prosocial Motives,,accepting
Prosocial Motives,,accommodat
Prosocial Motives,,affect
Prosocial Motives,,agreeable
Prosocial Motives,,aid
Prosocial Motives,,altruis
Prosocial Motives,,appreciat
Prosocial Motives,,approachable
Prosocial Motives,,assist
Prosocial Motives,,benefit
Prosocial Motives,,benevolen
Prosocial Motives,,biodivers
Prosocial Motives,,care
Prosocial Motives,,caring
Prosocial Motives,,charit
Prosocial Motives,,collective
Prosocial Motives,,commun
Prosocial Motives,,compassion
Prosocial Motives,,compliment
Prosocial Motives,,concern
Prosocial Motives,,confide
Prosocial Motives,,conscien
Prosocial Motives,,conservation
Prosocial Motives,,considerate
Prosocial Motives,,contribut
Prosocial Motives,,cooperat
Prosocial Motives,,cope
Prosocial Motives,,coping
Prosocial Motives,,courteous
Prosocial Motives,,courtesy
Prosocial Motives,,defend
Prosocial Motives,,dependab
Prosocial Motives,,dignity
Prosocial Motives,,donat
Prosocial Motives,,earth
Prosocial Motives,,ecolog
Prosocial Motives,,education
Prosocial Motives,,egalitar
Prosocial Motives,,empath
Prosocial Motives,,empower
Prosocial Motives,,encourag
Prosocial Motives,,environment
Prosocial Motives,,equal
Prosocial Motives,,ethic
Prosocial Motives,,everybod
Prosocial Motives,,everyone
Prosocial Motives,,facilitat
Prosocial Motives,,fair
Prosocial Motives,,forgiv
Prosocial Motives,,freed
Prosocial Motives,,genero
Prosocial Motives,,gentle
Prosocial Motives,,genuin
Prosocial Motives,,giv
Prosocial Motives,,goodhearted
Prosocial Motives,,greater good
Prosocial Motives,,guard
Prosocial Motives,,harmon
Prosocial Motives,,help
Prosocial Motives,,helpful
Prosocial Motives,,honest
Prosocial Motives,,honorable
Prosocial Motives,,honourable
Prosocial Motives,,hospit
Prosocial Motives,,human
Prosocial Motives,,impartial
Prosocial Motives,,inspiring
Prosocial Motives,,integrat
Prosocial Motives,,integrity
Prosocial Motives,,interact
Prosocial Motives,,invit
Prosocial Motives,,involv
Prosocial Motives,,justice
Prosocial Motives,,kids
Prosocial Motives,,kindness
Prosocial Motives,,listen
Prosocial Motives,,loyal
Prosocial Motives,,moral
Prosocial Motives,,NGO
Prosocial Motives,,nice
Prosocial Motives,,nonjudgmental
Prosocial Motives,,nonprofit
Prosocial Motives,,not-for-profit
Prosocial Motives,,nurtur
Prosocial Motives,,peace
Prosocial Motives,,philanthrop
Prosocial Motives,,prais
Prosocial Motives,,prejud
Prosocial Motives,,protect
Prosocial Motives,,reciproc
Prosocial Motives,,relia
Prosocial Motives,,relied
Prosocial Motives,,rely
Prosocial Motives,,respectful
Prosocial Motives,,responsib
Prosocial Motives,,responsiv
Prosocial Motives,,righteous
Prosocial Motives,,rights
Prosocial Motives,,role model
Prosocial Motives,,selfless
Prosocial Motives,,sensitiv
Prosocial Motives,,serv
Prosocial Motives,,share
Prosocial Motives,,shari
Prosocial Motives,,shield
Prosocial Motives,,sincer
Prosocial Motives,,societ
Prosocial Motives,,solidarit
Prosocial Motives,,support
Prosocial Motives,,sustainab
Prosocial Motives,,sympath
Prosocial Motives,,taught
Prosocial Motives,,teach
Prosocial Motives,,team
Prosocial Motives,,tender
Prosocial Motives,,the people
Prosocial Motives,,therap
Prosocial Motives,,thoughtful
Prosocial Motives,,tolera
Prosocial Motives,,trust
Prosocial Motives,,tutor
Prosocial Motives,,underst
Prosocial Motives,,universal
Prosocial Motives,,unprejudiced
Prosocial Motives,,upright
Prosocial Motives,,virtuous
Prosocial Motives,,volunteer